lld,label,entropy,length
roskachestvo,0,3.2516291673878226,12
nav,0,1.584962500721156,3
nike-shoes,0,2.9219280948873623,10
www.moncleroutletstores,0,3.435755433941628,23
explore,0,2.5216406363433186,7
school,0,2.251629167387823,6
mai,0,1.584962500721156,3
structure,0,2.5032583347756456,9
converse-schuhe,0,3.1898980954642875,15
ralphlaurens,0,3.084962500721156,12
recruiting2,0,3.0957952550009344,11
tse2.mm,0,2.521640636343318,7
swarovskisoutlet,0,3.452819531114783,16
rgl,0,1.584962500721156,3
asp,0,1.584962500721156,3
arso,0,2.0,4
baidianfeng,0,2.9139770731827523,11
goto,0,1.5,4
adidas-shoes,0,2.8553885422075336,12
stream,0,2.584962500721156,6
burberryoutletonline,0,3.246439344671015,20
hollister,0,2.94770277922009,9
cdn10,0,2.321928094887362,5
portal,0,2.584962500721156,6
verify,0,2.584962500721156,6
huarache,0,2.5,8
newbalanceschuhe,0,3.202819531114783,16
www.maccosmeticsofficial,0,3.4387218755408675,24
maccosmeticsofficial,0,3.1841837197791887,20
rpn,0,1.584962500721156,3
ub,0,1.0,2
nikerosherun,0,3.0849625007211556,12
swarovskionlineshop,0,3.536886723742167,19
akon,0,2.0,4
wap,0,1.584962500721156,3
tai,0,1.584962500721156,3
journal,0,2.807354922057604,7
parliament,0,3.121928094887362,10
jabra,0,1.9219280948873623,5
eng,0,1.584962500721156,3
ksassets,0,2.0,8
nike-rosherun,0,3.238901256602631,13
message,0,2.2359263506290326,7
gossluzhba,0,3.121928094887362,10
bygda,0,2.321928094887362,5
home-rent,0,2.94770277922009,9
nac,0,1.584962500721156,3
nike-huarache,0,3.238901256602631,13
guba,0,2.0,4
podvignaroda,0,3.084962500721156,12
michaelkorsoutletks,0,3.6163485660751644,19
www.michaelkorsoutletks,0,3.795088586397733,23
my.bookmark,0,2.9139770731827523,11
air-maxschoenen,0,3.5068905956085192,15
ved,0,1.584962500721156,3
raybans-outlet,0,3.521640636343319,14
rndschool61,0,3.277613436819116,11
horlogesrolexs,0,2.8962915290459277,14
visa,0,2.0,4
ak1,0,1.584962500721156,3
d26lpennugtm8s,0,3.6644977792004623,14
tommyhilfigers,0,3.521640636343319,14
at,0,1.0,2
chiebukuro,0,3.121928094887362,10
legisquebec,0,3.027169118440619,11
cce,0,0.9182958340544896,3
nikeairforce,0,3.084962500721156,12
www.bt,0,1.7924812503605778,6
epaper,0,1.9182958340544893,6
parlament,0,2.94770277922009,9
care,0,2.0,4
coachoutletstoreonline,0,3.3908054820769817,22
main,0,2.0,4
mathscinet,0,3.121928094887362,10
law,0,1.584962500721156,3
adidasschuhe-online,0,3.511085408180427,19
v2,0,1.0,2
www.library,0,2.8453509366224368,11
businessnetwork,0,3.32323142879762,15
sa,0,1.0,2
puma-shoes,0,3.121928094887362,10
nike-schoenen,0,2.9689185639620974,13
birkenstockshoes,0,3.327819531114783,16
opinion,0,1.9502120649147465,7
adidassuper-star,0,3.1556390622295662,16
cdmd,0,1.5,4
gia,0,1.584962500721156,3
ac,0,1.0,2
cheap--nfljerseys,0,3.572469458770136,17
lilun,0,1.9219280948873623,5
birkenstocks,0,3.2516291673878226,12
licee,0,1.9219280948873623,5
ta,0,1.0,2
wsxf,0,2.0,4
mailhide,0,2.75,8
businesswales,0,2.9312089489103235,13
www.louisvuittonoutlet,0,3.265583322887733,22
pfp,0,0.9182958340544896,3
cscs,0,1.0,4
mk,0,1.0,2
look,0,1.5,4
paperplanes,0,2.663532754804255,11
moncler,0,2.807354922057604,7
poloralphlaurens,0,3.202819531114783,16
isport,0,2.584962500721156,6
dingli,0,2.2516291673878226,6
vans-schuhe,0,3.095795255000934,11
www.noe,0,2.1280852788913944,7
monitor,0,2.5216406363433186,7
strong,0,2.584962500721156,6
buyamitriptyline,0,3.452819531114783,16
portico,0,2.5216406363433186,7
search.cn,0,2.94770277922009,9
zz,0,-0.0,2
audit,0,2.321928094887362,5
converse,0,2.75,8
audycje,0,2.807354922057604,7
motherhood,0,2.6464393446710153,10
electrician,0,2.9139770731827523,11
is1-ssl,0,2.1280852788913944,7
salomon-schuhe,0,3.378783493486176,14
nikeshoesoutlet,0,3.1898980954642875,15
fsa,0,1.584962500721156,3
reebok,0,2.2516291673878226,6
nike-air-max,0,3.084962500721156,12
fpu,0,1.584962500721156,3
centralbrunei,0,3.238901256602631,13
www.dom,0,2.1280852788913944,7
autogallery,0,3.0957952550009344,11
beta,0,2.0,4
rayban,0,2.2516291673878226,6
duna-anapa,0,2.3219280948873626,10
air-max,0,2.5216406363433186,7
michaeljordan,0,3.5465935642949384,13
ipp,0,0.9182958340544896,3
un,0,1.0,2
tommy-hilfiger,0,3.521640636343319,14
nike-schuhe,0,3.095795255000934,11
hogan,0,2.321928094887362,5
perpustakaan,0,3.0220552088742005,12
unam,0,2.0,4
kedokterannuklir,0,3.327819531114783,16
thenorthface,0,3.084962500721156,12
leverage,0,2.4056390622295662,8
chechnya,0,2.5,8
prada,0,1.9219280948873623,5
michael-kors-taschen,0,3.721928094887362,20
nikestore,0,2.94770277922009,9
