lld,label,entropy,length,numbchars,numbdots
wjw,0,0.9182958340544896,3,0.0,0
gvp,0,1.584962500721156,3,0.0,0
resh,0,2.0,4,0.0,0
gweddill,0,2.5,8,0.0,0
ibrae,0,2.321928094887362,5,0.0,0
ku.m,0,2.0,4,0.25,1
adult.contents,0,3.3248629576173574,14,0.07142857142857142,1
ito,0,1.584962500721156,3,0.0,0
gasu,0,2.0,4,0.0,0
inr,0,1.584962500721156,3,0.0,0
gisp,0,2.0,4,0.0,0
norton,0,1.9182958340544893,6,0.0,0
carrefour-numerique,0,3.326360407952693,19,0.05263157894736842,0
subs,0,1.5,4,0.0,0
www10,0,1.3709505944546687,5,0.4,0
uvo,0,1.584962500721156,3,0.0,0
mnz,0,1.584962500721156,3,0.0,0
nrm,0,1.584962500721156,3,0.0,0
ktelegraf,0,2.94770277922009,9,0.0,0
hirek,0,2.321928094887362,5,0.0,0
wsjkw,0,1.9219280948873623,5,0.0,0
mms,0,0.9182958340544896,3,0.0,0
mf,0,1.0,2,0.0,0
nettdating-gratis,0,3.146286370662105,17,0.058823529411764705,0
ek,0,1.0,2,0.0,0
dailynews,0,3.169925001442312,9,0.0,0
g-search1,0,3.169925001442312,9,0.2222222222222222,0
www.louisvuittonoutlet-stores,0,3.4830050302680133,29,0.06896551724137931,1
estc,0,2.0,4,0.0,0
hjjg,0,1.5,4,0.0,0
sx,0,1.0,2,0.0,0
sl,0,1.0,2,0.0,0
turism,0,2.584962500721156,6,0.0,0
rekn,0,2.0,4,0.0,0
coupe,0,2.321928094887362,5,0.0,0
kozigallas,0,2.9219280948873623,10,0.0,0
site,0,2.0,4,0.0,0
alderney,0,2.75,8,0.0,0
granma,0,2.2516291673878226,6,0.0,0
man,0,1.584962500721156,3,0.0,0
russian-orthodox-church,0,3.5555331514269954,23,0.08695652173913043,0
qvoq,0,1.5,4,0.0,0
burundi,0,2.5216406363433186,7,0.0,0
tabletki-odchudzajace,0,3.7849418274376423,21,0.047619047619047616,0
fpyr,0,2.0,4,0.0,0
icni,0,1.5,4,0.0,0
ioc,0,1.584962500721156,3,0.0,0
uni-vologda,0,3.277613436819116,11,0.09090909090909091,0
bdd-eor,0,2.5216406363433186,7,0.14285714285714285,0
tdxw,0,2.0,4,0.0,0
oymf,0,2.0,4,0.0,0
ired,0,2.0,4,0.0,0
cdn02,0,2.321928094887362,5,0.4,0
rguc,0,2.0,4,0.0,0
wljg,0,2.0,4,0.0,0
zhaojing,0,3.0,8,0.0,0
kwgv,0,2.0,4,0.0,0
customsiliconebraceletscheappwe,0,3.781147020819124,31,0.0,0
mijq,0,2.0,4,0.0,0
estyn,0,2.321928094887362,5,0.0,0
zsys,0,1.5,4,0.0,0
rnfj,0,2.0,4,0.0,0
startelegram,0,2.918295834054489,12,0.0,0
kkpgitamandir,0,3.238901256602631,13,0.0,0
razvoj,0,2.584962500721156,6,0.0,0
ztog,0,2.0,4,0.0,0
thrd,0,2.0,4,0.0,0
